"orden";"sitio";"gobierno_local";"codigo";"fecha";"año";"campaña";"amonio_mg_l";"colif_fecales_nmp_100ml";"colif_totales_nmp_100ml";"escher_coli_nmp_100ml";"nitratos_mg_l";"oxigeno_disuelto";"ph";"temperatura_ºc";"solidos_disueltos_mg_l";"fosforo_total_mg_l";"conductividad_ms_cm";"ica";"clase_ica"
"1";"Arroyo Abra Vieja y Santa Rosa";"Tigre";"TI009";"3/5/2005";"2005";"otoño";"0.05";"2300";"4300";"0";"5";"6.6";"7.6";"19.6";"no se midió";"no se midió";"no se midió";"61";"Muy deteriorada"
"2";"Río Capitán y Río San Antonio";"Tigre";"TI008";"3/5/2005";"2005";"otoño";"0.05";"2300";"4300";"0";"5";"6.3";"7.4";"20.2";"no se midió";"no se midió";"no se midió";"61";"Muy deteriorada"
"3";"Río Reconquista y Río Lujan";"Tigre";"TI004";"3/5/2005";"2005";"otoño";"2.72";"2300";"4300";"0";"5";"4.8";"7.4";"19.4";"no se midió";"no se midió";"no se midió";"42";"Extremadamente deteriorada"
"4";"Río Lujan y Canal San Fernando";"Tigre";"TI007";"3/5/2005";"2005";"otoño";"0.92";"400";"2300";"0";"5";"4.1";"7.5";"19.5";"no se midió";"no se midió";"no se midió";"57";"Muy deteriorada"
"5";"Río Tigre y Río Lujan";"Tigre";"TI005";"3/5/2005";"2005";"otoño";"9.2";"93000";"240000";"0";"5";"2.4";"7.7";"19.7";"no se midió";"no se midió";"no se midió";"30";"Extremadamente deteriorada"
"6";"Río Carapachay y Arroyo Gallo Fiambre";"Tigre";"TI003";"3/5/2005";"2005";"otoño";"0.05";"400";"4300";"0";"5";"4.4";"7.3";"18.7";"no se midió";"no se midió";"no se midió";"71";"Deteriorada"
"7";"Canal Aliviador y Río Lujan";"Tigre";"TI002";"3/5/2005";"2005";"otoño";"0.76";"900";"9300";"0";"5";"4";"7.3";"19.4";"no se midió";"no se midió";"no se midió";"53";"Muy deteriorada"
"8";"Río Lujan y Arroyo Caraguatá";"Tigre";"TI006";"3/5/2005";"2005";"otoño";"0.266";"129000";"135000";"6000";"";"4.9";"7.7";"19.5";"141";"0.17";"0.3";"13";"Extremadamente deteriorada"
"9";"Canal Villanueva y Río Luján";"Tigre";"TI001";"3/5/2005";"2005";"otoño";"0.05";"700";"1500";"0";"5";"4.5";"7.5";"19.5";"no se midió";"no se midió";"no se midió";"62";"Muy deteriorada"
"10";"Espigón La Farola";"San Isidro";"SI021";"3/5/2005";"2005";"otoño";"0.35";"45000";"140000";"";"2.2";"6.2";"7.6";"20.6";"no se midió";"no se midió";"no se midió";"40";"Extremadamente deteriorada"
"11";"Reserva Ecológica";"San Isidro";"SI022";"3/5/2005";"2005";"otoño";"0.26";"4500";"70000";"";"3.9";"6.6";"7.9";"22.6";"no se midió";"no se midió";"no se midió";"47";"Muy deteriorada"
"12";"Playa Espigón de Pacheco";"San Isidro";"SI024";"3/5/2005";"2005";"otoño";"0.15";"6800";"110000";"";"4.9";"7.8";"7.9";"20.4";"no se midió";"no se midió";"no se midió";"45";"Muy deteriorada"
"13";"Barrio El Ceibo";"VicenteLópez";"VL033";"3/5/2005";"2005";"otoño";"0.18";"400";"7900";"";"5.9";"6.7";"7.9";"19.3";"no se midió";"0.12";"0.37";"57";"Muy deteriorada"
"14";"Puerto de Olivos Espigón";"VicenteLópez";"VL032";"3/5/2005";"2005";"otoño";"no se midió";"2300";"92000";"";"5.7";"5.1";"7.5";"18.4";"no se midió";"0.08";"0.35";"47";"Muy deteriorada"
"15";"Costa y Melo";"VicenteLópez";"VL031";"3/5/2005";"2005";"otoño";"0.76";"54000";"240000";"";"10.1";"6.8";"7.7";"19";"no se midió";"0.17";"0.47";"35";"Extremadamente deteriorada"
"16";"Frente a la toma de agua AySA";"CABA";"CA043";"4/5/2005";"2005";"otoño";"1.17";"no se midió";"no se midió";"no se midió";"no se midió";"4.4";"7.7";"20.4";"310";"0.18";"0.65";"pocas variables";"sin poder calcular Índice"
